@relation yeast4-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute Mcg {'\'(-inf-0.445]\'','\'(0.445-0.725]\'','\'(0.725-inf)\''}
@attribute Gvh {'\'(-inf-0.495]\'','\'(0.495-inf)\''}
@attribute Alm {'\'(-inf-0.425]\'','\'(0.425-inf)\''}
@attribute Mit {'\'(-inf-0.285]\'','\'(0.285-0.395]\'','\'(0.395-inf)\''}
@attribute Erl {'\'All\''}
@attribute Pox {'\'All\''}
@attribute Vac {'\'All\''}
@attribute Nuc {'\'(-inf-0.305]\'','\'(0.305-inf)\''}
@attribute Class {positive,negative}

@data
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',positive
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(-inf-0.425]\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(-inf-0.425]\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',positive
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',positive
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',positive
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(-inf-0.425]\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.725-inf)\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.725-inf)\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',positive
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',positive
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(0.285-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(0.445-0.725]\'','\'(0.495-inf)\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.305]\'',negative
'\'(-inf-0.445]\'','\'(-inf-0.495]\'','\'(0.425-inf)\'','\'(-inf-0.285]\'','\'All\'','\'All\'','\'All\'','\'(0.305-inf)\'',negative
