@relation yeast1-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute Mcg {'\'(-inf-0.585]\'','\'(0.585-inf)\''}
@attribute Gvh {'\'(-inf-0.325]\'','\'(0.325-0.605]\'','\'(0.605-inf)\''}
@attribute Alm {'\'(-inf-0.405]\'','\'(0.405-inf)\''}
@attribute Mit {'\'(-inf-0.395]\'','\'(0.395-inf)\''}
@attribute Erl {'\'All\''}
@attribute Pox {'\'All\''}
@attribute Vac {'\'All\''}
@attribute Nuc {'\'(-inf-0.245]\'','\'(0.245-0.325]\'','\'(0.325-inf)\''}
@attribute Class {positive,negative}

@data
'\'(-inf-0.585]\'','\'(0.605-inf)\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(-inf-0.325]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(0.605-inf)\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(0.605-inf)\'','\'(-inf-0.405]\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.605-inf)\'','\'(-inf-0.405]\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(-inf-0.585]\'','\'(-inf-0.325]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(-inf-0.405]\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(-inf-0.325]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(-inf-0.325]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(-inf-0.325]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.605-inf)\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.605-inf)\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(-inf-0.325]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(-inf-0.325]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(-inf-0.325]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.605-inf)\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.605-inf)\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.605-inf)\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.605-inf)\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.605-inf)\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(-inf-0.325]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',negative
'\'(-inf-0.585]\'','\'(-inf-0.325]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',positive
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(-inf-0.405]\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(-inf-0.325]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',negative
'\'(0.585-inf)\'','\'(0.605-inf)\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(0.585-inf)\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(0.325-inf)\'',negative
'\'(-inf-0.585]\'','\'(0.605-inf)\'','\'(-inf-0.405]\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.245-0.325]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(-inf-0.405]\'','\'(-inf-0.395]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
'\'(-inf-0.585]\'','\'(0.325-0.605]\'','\'(0.405-inf)\'','\'(0.395-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.245]\'',negative
